"","mun","year","Nombre municipio","Departamento","presencia","Guerrilla","Paramilitaries","Disputa"
"43",5237,1998,"Don Matías","Antioquia",0,0,0,0
"44",5240,1998,"Ebéjico","Antioquia",3,1,1,1
"45",5250,1998,"El Bagre","Antioquia",1,1,0,0
"46",5264,1998,"Entrerrios","Antioquia",0,0,0,0
"47",5266,1998,"Envigado","Antioquia",1,1,0,0
"48",5282,1998,"Fredonia","Antioquia",3,1,1,1
"49",5284,1998,"Frontino","Antioquia",3,1,1,1
"50",5306,1998,"Giraldo","Antioquia",0,0,0,0
"51",5308,1998,"Girardota","Antioquia",0,0,0,0
"52",5310,1998,"Gómez Plata","Antioquia",1,1,0,0
"53",5313,1998,"Granada","Antioquia",1,1,0,0
"54",5315,1998,"Guadalupe","Antioquia",3,1,1,1
"55",5318,1998,"Guarne","Antioquia",2,0,1,0
"56",5321,1998,"Guatapé","Antioquia",1,1,0,0
"57",5347,1998,"Heliconia","Antioquia",2,0,1,0
"58",5353,1998,"Hispania","Antioquia",1,1,0,0
