"","mun","year","FARC","AUC","ELN","ERP","ERG","EPL","BACRIM","Guerrilla","Paramilitaries"
"117",5856,1994,0,1,0,0,0,0,0,0,1
"118",5858,1994,0,1,1,0,0,0,0,1,1
"119",5861,1994,0,1,1,0,0,0,0,1,1
"120",5873,1994,0,1,0,0,0,0,0,0,1
"121",5885,1994,0,1,0,0,0,0,0,0,1
"122",5887,1994,1,1,1,0,0,0,0,1,1
"123",5890,1994,1,1,1,0,0,0,0,1,1
"124",5893,1994,1,1,1,0,0,0,0,1,1
"125",5895,1994,0,1,1,0,0,0,0,1,1
"126",8001,1994,0,1,1,0,0,0,0,1,1
"127",8078,1994,1,1,0,0,0,0,0,1,1
"128",8137,1994,1,1,1,0,0,0,0,1,1
"129",8141,1994,0,1,0,0,0,0,0,0,1
"130",8296,1994,0,1,0,0,0,0,0,0,1
"131",8372,1994,0,1,0,0,0,0,0,0,1
"132",8421,1994,0,1,0,0,0,0,0,0,1
"133",8433,1994,0,1,0,0,0,0,0,0,1
"134",8436,1994,0,1,0,0,0,0,0,0,1
"135",8520,1994,0,1,0,0,0,0,0,0,1
"136",8549,1994,0,1,0,0,0,0,0,0,1
"137",8558,1994,0,1,0,0,0,0,0,0,1
"138",8560,1994,0,1,0,0,0,0,0,0,1
"139",8573,1994,0,1,0,0,0,0,0,0,1
"140",8606,1994,0,1,0,0,0,0,0,0,1
"141",8634,1994,0,1,0,0,0,0,0,0,1
"142",8638,1994,0,1,0,0,0,0,0,0,1
"143",8675,1994,0,1,0,0,0,0,0,0,1
"144",8685,1994,0,1,0,0,0,0,0,0,1
"145",8758,1994,0,1,0,0,0,0,0,0,1
"146",8770,1994,0,1,1,0,0,0,0,1,1
"147",8832,1994,0,1,0,0,0,0,0,0,1
"148",8849,1994,0,1,0,0,0,0,0,0,1
"149",11001,1994,1,1,1,0,0,0,0,1,1
"150",13001,1994,0,1,1,0,0,0,0,1,1
"151",13006,1994,1,1,1,0,0,0,0,1,1
"152",13030,1994,0,1,0,0,0,0,0,0,1
"153",13042,1994,0,1,1,0,0,0,0,1,1
"154",13052,1994,0,1,0,0,0,0,0,0,1
"155",13062,1994,0,1,1,0,0,0,0,1,1
"156",13074,1994,1,1,0,0,0,0,0,1,1
"157",13140,1994,1,1,0,0,0,0,0,1,1
"158",13160,1994,0,1,0,0,0,0,0,0,1
"159",13188,1994,0,1,0,0,0,0,0,0,1
"160",13212,1994,0,1,0,0,0,0,0,0,1
"161",13222,1994,0,1,1,0,0,0,0,1,1
"162",13244,1994,1,1,1,0,0,0,0,1,1
"163",13248,1994,0,1,0,0,0,0,0,0,1
"164",13268,1994,0,1,1,0,0,0,0,1,1
"165",13300,1994,0,1,0,0,0,0,0,0,1
"166",13430,1994,1,1,1,0,0,0,0,1,1
"167",13433,1994,0,1,0,0,0,0,0,0,1
"168",13440,1994,0,1,0,0,0,0,0,0,1
"169",13442,1994,1,1,0,0,0,0,0,1,1
"170",13458,1994,0,1,0,0,0,0,0,0,1
"171",13468,1994,0,1,0,0,0,0,0,0,1
"172",13473,1994,1,1,1,0,0,0,0,1,1
"173",13490,1994,0,1,1,0,0,0,0,1,1
"174",13549,1994,1,1,0,0,0,0,0,1,1
"175",13580,1994,0,1,1,0,0,0,0,1,1
"176",13600,1994,1,1,1,0,0,0,0,1,1
"177",13620,1994,0,1,1,0,0,0,0,1,1
"178",13647,1994,0,1,0,0,0,0,0,0,1
"179",13650,1994,0,1,0,0,0,0,0,0,1
"180",13654,1994,1,1,0,0,0,0,0,1,1
"181",13655,1994,0,1,1,0,0,0,0,1,1
"182",13657,1994,0,1,0,0,0,0,0,0,1
"183",13667,1994,0,1,1,0,0,0,0,1,1
"184",13670,1994,1,1,1,0,0,0,0,1,1
"185",13673,1994,0,1,0,0,0,0,0,0,1
"186",13683,1994,0,1,1,0,0,0,0,1,1
"187",13688,1994,0,1,0,0,0,0,0,0,1
"188",13744,1994,0,1,1,0,0,0,0,1,1
"189",13760,1994,0,1,0,0,0,0,0,0,1
"190",13780,1994,1,1,0,0,0,0,0,1,1
"191",13810,1994,0,1,0,0,0,0,0,0,1
"192",13836,1994,0,1,0,0,0,0,0,0,1
"193",13838,1994,0,1,0,0,0,0,0,0,1
"194",13873,1994,0,1,0,0,0,0,0,0,1
"195",13894,1994,0,1,0,0,0,0,0,0,1
"196",15001,1994,0,1,0,0,0,0,0,0,1
"197",15022,1994,0,1,0,0,0,0,0,0,1
"198",15047,1994,1,1,0,0,0,0,0,1,1
"199",15051,1994,0,1,0,0,0,0,0,0,1
"200",15087,1994,0,1,0,0,0,0,0,0,1
"201",15090,1994,0,1,0,0,0,0,0,0,1
"202",15092,1994,0,1,0,0,0,0,0,0,1
"203",15097,1994,1,1,1,0,0,0,0,1,1
"204",15104,1994,0,1,0,0,0,0,0,0,1
"205",15106,1994,0,1,0,0,0,0,0,0,1
"206",15109,1994,0,1,0,0,0,0,0,0,1
"207",15114,1994,0,1,0,0,0,0,0,0,1
"208",15131,1994,0,1,0,0,0,0,0,0,1
"209",15135,1994,0,1,0,0,0,0,0,0,1
"210",15162,1994,0,1,0,0,0,0,0,0,1
"211",15172,1994,0,1,0,0,0,0,0,0,1
"212",15176,1994,0,1,0,0,0,0,0,0,1
"213",15180,1994,1,1,1,0,0,0,0,1,1
"214",15183,1994,1,1,1,0,0,0,0,1,1
"215",15185,1994,0,1,0,0,0,0,0,0,1
"216",15187,1994,0,1,0,0,0,0,0,0,1
"217",15189,1994,0,1,0,0,0,0,0,0,1
"218",15204,1994,0,1,0,0,0,0,0,0,1
"219",15212,1994,0,1,0,0,0,0,0,0,1
"220",15215,1994,0,1,0,0,0,0,0,0,1
"221",15218,1994,0,1,0,0,0,0,0,0,1
"222",15223,1994,1,1,1,0,0,0,0,1,1
"223",15224,1994,0,1,0,0,0,0,0,0,1
"224",15226,1994,0,1,0,0,0,0,0,0,1
"225",15232,1994,0,1,0,0,0,0,0,0,1
"226",15236,1994,0,1,0,0,0,0,0,0,1
"227",15238,1994,0,1,0,0,0,0,0,0,1
"228",15244,1994,0,1,0,0,0,0,0,0,1
"229",15248,1994,0,1,1,0,0,0,0,1,1
"230",15272,1994,0,1,0,0,0,0,0,0,1
"231",15276,1994,0,1,0,0,0,0,0,0,1
"232",15293,1994,0,1,0,0,0,0,0,0,1
"233",15296,1994,0,1,0,0,0,0,0,0,1
"234",15299,1994,0,1,0,0,0,0,0,0,1
"235",15317,1994,0,1,0,0,0,0,0,0,1
"236",15322,1994,0,1,0,0,0,0,0,0,1
"237",15325,1994,0,1,0,0,0,0,0,0,1
"238",15332,1994,1,1,0,0,0,0,0,1,1
"239",15362,1994,0,1,0,0,0,0,0,0,1
"240",15367,1994,0,1,0,0,0,0,0,0,1
"241",15368,1994,0,1,0,0,0,0,0,0,1
"242",15377,1994,1,1,1,0,0,0,0,1,1
"243",15380,1994,0,1,0,0,0,0,0,0,1
"244",15401,1994,0,1,0,0,0,0,0,0,1
"245",15403,1994,0,1,0,0,0,0,0,0,1
"246",15407,1994,0,1,0,0,0,0,0,0,1
"247",15425,1994,0,1,0,0,0,0,0,0,1
"248",15442,1994,0,1,0,0,0,0,0,0,1
"249",15455,1994,0,1,0,0,0,0,0,0,1
"250",15464,1994,0,1,0,0,0,0,0,0,1
"251",15466,1994,0,1,0,0,0,0,0,0,1
"252",15469,1994,0,1,0,0,0,0,0,0,1
"253",15476,1994,0,1,0,0,0,0,0,0,1
"254",15480,1994,0,1,0,0,0,0,0,0,1
"255",15491,1994,0,1,0,0,0,0,0,0,1
"256",15494,1994,0,1,0,0,0,0,0,0,1
"257",15500,1994,0,1,0,0,0,0,0,0,1
"258",15507,1994,0,1,0,0,0,0,0,0,1
"259",15511,1994,0,1,0,0,0,0,0,0,1
"260",15514,1994,0,1,0,0,0,0,0,0,1
"261",15516,1994,0,1,0,0,0,0,0,0,1
"262",15518,1994,1,1,1,0,0,0,0,1,1
"263",15522,1994,0,1,0,0,0,0,0,0,1
"264",15531,1994,1,1,0,0,0,0,0,1,1
"265",15533,1994,0,1,0,0,0,0,0,0,1
"266",15537,1994,0,1,0,0,0,0,0,0,1
"267",15542,1994,0,1,0,0,0,0,0,0,1
"268",15550,1994,0,1,0,0,0,0,0,0,1
"269",15572,1994,1,1,0,0,0,0,0,1,1
"270",15580,1994,0,1,0,0,0,0,0,0,1
"271",15599,1994,0,1,0,0,0,0,0,0,1
"272",15600,1994,0,1,0,0,0,0,0,0,1
"273",15621,1994,0,1,0,0,0,0,0,0,1
"274",15632,1994,0,1,0,0,0,0,0,0,1
"275",15638,1994,0,1,0,0,0,0,0,0,1
"276",15646,1994,0,1,0,0,0,0,0,0,1
"277",15660,1994,0,1,0,0,0,0,0,0,1
"278",15664,1994,0,1,0,0,0,0,0,0,1
"279",15667,1994,0,1,0,0,0,0,0,0,1
"280",15673,1994,0,1,1,0,0,0,0,1,1
"281",15676,1994,0,1,0,0,0,0,0,0,1
"282",15681,1994,0,1,0,0,0,0,0,0,1
"283",15686,1994,0,1,0,0,0,0,0,0,1
"284",15690,1994,0,1,0,0,0,0,0,0,1
"285",15693,1994,0,1,0,0,0,0,0,0,1
"286",15696,1994,0,1,0,0,0,0,0,0,1
"287",15720,1994,0,1,0,0,0,0,0,0,1
"288",15723,1994,0,1,0,0,0,0,0,0,1
"289",15740,1994,0,1,0,0,0,0,0,0,1
"290",15753,1994,0,1,0,0,0,0,0,0,1
"291",15755,1994,1,1,0,0,0,0,0,1,1
"292",15757,1994,0,1,0,0,0,0,0,0,1
"293",15759,1994,1,1,0,0,0,0,0,1,1
"294",15761,1994,0,1,0,0,0,0,0,0,1
"295",15762,1994,0,1,0,0,0,0,0,0,1
"296",15763,1994,0,1,0,0,0,0,0,0,1
"297",15764,1994,0,1,0,0,0,0,0,0,1
"298",15774,1994,0,1,0,0,0,0,0,0,1
"299",15776,1994,1,1,0,0,0,0,0,1,1
"300",15778,1994,0,1,0,0,0,0,0,0,1
"301",15790,1994,1,1,0,0,0,0,0,1,1
"302",15798,1994,0,1,0,0,0,0,0,0,1
"303",15804,1994,0,1,0,0,0,0,0,0,1
"304",15806,1994,1,1,0,0,0,0,0,1,1
"305",15808,1994,0,1,0,0,0,0,0,0,1
"306",15810,1994,0,1,1,0,0,0,0,1,1
"307",15814,1994,0,1,0,0,0,0,0,0,1
"308",15816,1994,0,1,0,0,0,0,0,0,1
"309",15820,1994,0,1,0,0,0,0,0,0,1
"310",15822,1994,1,1,0,0,0,0,0,1,1
"311",15832,1994,0,1,0,0,0,0,0,0,1
"312",15835,1994,0,1,0,0,0,0,0,0,1
"313",15837,1994,0,1,0,0,0,0,0,0,1
"314",15839,1994,0,1,0,0,0,0,0,0,1
"315",15842,1994,0,1,0,0,0,0,0,0,1
"316",15861,1994,0,1,0,0,0,0,0,0,1
"317",15879,1994,0,1,0,0,0,0,0,0,1
"318",15897,1994,0,1,0,0,0,0,0,0,1
"319",17001,1994,0,1,0,0,0,0,0,0,1
"320",17013,1994,1,1,1,0,0,0,0,1,1
"321",17042,1994,1,1,0,0,0,0,0,1,1
"322",17050,1994,0,1,0,0,0,0,0,0,1
"323",17088,1994,0,1,0,0,0,0,0,0,1
"324",17174,1994,0,1,0,0,0,0,0,0,1
"325",17272,1994,0,1,0,0,0,0,0,0,1
"326",17380,1994,0,1,0,0,0,0,0,0,1
"327",17388,1994,1,1,0,0,0,0,0,1,1
"328",17433,1994,0,1,0,0,0,0,0,0,1
"329",17442,1994,1,1,0,0,0,0,0,1,1
"330",17444,1994,0,1,0,0,0,0,0,0,1
"331",17446,1994,0,1,0,0,0,0,0,0,1
"332",17486,1994,0,1,0,0,0,0,0,0,1
"333",17495,1994,0,1,1,0,0,0,0,1,1
"334",17513,1994,1,1,0,0,0,0,0,1,1
"335",17524,1994,0,1,0,0,0,0,0,0,1
"336",17541,1994,0,1,0,0,0,0,0,0,1
"337",17614,1994,1,1,0,0,0,0,0,1,1
"338",17616,1994,0,1,0,0,0,0,0,0,1
"339",17653,1994,0,1,0,0,0,0,0,0,1
"340",17662,1994,0,1,0,0,0,0,0,0,1
"341",17665,1994,0,1,1,0,0,0,0,1,1
"342",17777,1994,0,1,0,0,0,0,0,0,1
"343",17867,1994,0,1,0,0,0,0,0,0,1
"344",17873,1994,0,1,0,0,0,0,0,0,1
"345",17877,1994,0,1,0,0,0,0,0,0,1
"346",18001,1994,1,1,0,0,0,0,0,1,1
"347",18029,1994,0,1,0,0,0,0,0,0,1
"348",18094,1994,0,1,0,0,0,0,0,0,1
"349",18150,1994,1,1,0,0,0,0,0,1,1
"350",18205,1994,0,1,0,0,0,0,0,0,1
"351",18247,1994,1,1,0,0,0,0,0,1,1
"352",18256,1994,0,1,0,0,0,0,0,0,1
"353",18410,1994,1,1,0,0,0,0,0,1,1
"354",18460,1994,1,1,0,0,0,0,0,1,1
"355",18479,1994,1,1,0,0,0,0,0,1,1
"356",18592,1994,1,1,0,0,0,0,0,1,1
"357",18610,1994,0,1,0,0,0,0,0,0,1
"358",18753,1994,1,1,0,0,0,0,0,1,1
"359",18756,1994,0,1,0,0,0,0,0,0,1
"360",18785,1994,0,1,1,0,0,0,0,1,1
"361",18860,1994,0,1,0,0,0,0,0,0,1
"362",19001,1994,0,1,0,0,0,0,0,0,1
"363",19022,1994,0,1,0,0,0,0,0,0,1
"364",19050,1994,0,1,1,0,0,0,0,1,1
"365",19075,1994,1,1,0,0,0,0,0,1,1
"366",19100,1994,0,1,1,0,0,0,0,1,1
"367",19110,1994,1,1,0,0,0,0,0,1,1
"368",19130,1994,1,1,1,0,0,0,0,1,1
"369",19137,1994,1,1,0,0,0,0,0,1,1
"370",19142,1994,1,1,0,0,0,0,0,1,1
"371",19212,1994,0,1,0,0,0,0,0,0,1
"372",19256,1994,1,1,0,0,0,0,0,1,1
"373",19290,1994,0,1,0,0,0,0,0,0,1
"374",19318,1994,0,1,0,0,0,0,0,0,1
"375",19355,1994,0,1,0,0,0,0,0,0,1
"376",19364,1994,0,1,0,0,0,0,0,0,1
"377",19392,1994,1,1,1,0,0,0,0,1,1
"378",19397,1994,1,1,0,0,0,0,0,1,1
"379",19418,1994,0,1,0,0,0,0,0,0,1
"380",19450,1994,1,1,0,0,0,0,0,1,1
"381",19455,1994,0,1,0,0,0,0,0,0,1
"382",19473,1994,0,1,0,0,0,0,0,0,1
"383",19513,1994,0,1,0,0,0,0,0,0,1
"384",19517,1994,0,1,0,0,0,0,0,0,1
"385",19532,1994,0,1,0,0,0,0,0,0,1
"386",19533,1994,0,1,1,0,0,0,0,1,1
"387",19548,1994,1,1,1,0,0,0,0,1,1
"388",19573,1994,1,1,0,0,0,0,0,1,1
"389",19585,1994,1,1,0,0,0,0,0,1,1
"390",19622,1994,1,1,1,0,0,0,0,1,1
"391",19693,1994,0,1,0,0,0,0,0,0,1
"392",19698,1994,1,1,0,0,0,0,0,1,1
"393",19701,1994,0,1,0,0,0,0,0,0,1
"394",19743,1994,0,1,0,0,0,0,0,0,1
"395",19760,1994,1,1,0,0,0,0,0,1,1
"396",19780,1994,0,1,0,0,0,0,0,0,1
"397",19785,1994,0,1,1,0,0,0,0,1,1
"398",19807,1994,0,1,1,0,0,0,0,1,1
"399",19809,1994,0,1,0,0,0,0,0,0,1
"400",19821,1994,1,1,0,0,0,0,0,1,1
"401",19824,1994,0,1,0,0,0,0,0,0,1
"402",19845,1994,0,1,1,0,0,0,0,1,1
"403",20001,1994,1,1,1,0,0,0,0,1,1
"404",20011,1994,0,1,1,0,0,0,0,1,1
"405",20013,1994,1,1,1,0,0,0,0,1,1
"406",20032,1994,0,1,0,0,0,0,0,0,1
"407",20045,1994,0,1,1,0,0,0,0,1,1
"408",20060,1994,0,1,1,0,0,0,0,1,1
"409",20175,1994,0,1,1,0,0,0,0,1,1
"410",20178,1994,0,1,1,0,0,0,0,1,1
"411",20228,1994,1,1,1,0,0,0,0,1,1
"412",20238,1994,0,1,0,0,0,0,0,0,1
"413",20250,1994,0,1,0,0,0,0,0,0,1
"414",20295,1994,0,1,1,0,0,0,0,1,1
"415",20310,1994,0,1,1,0,0,0,0,1,1
"416",20383,1994,0,1,1,0,0,0,0,1,1
"417",20400,1994,0,1,0,0,0,0,0,0,1
"418",20443,1994,1,1,1,0,0,0,0,1,1
"419",20517,1994,0,1,1,0,0,0,0,1,1
"420",20550,1994,0,1,1,0,0,0,0,1,1
"421",20570,1994,0,1,1,0,0,0,0,1,1
"422",20614,1994,0,1,0,0,0,0,0,0,1
"423",20621,1994,1,1,1,0,0,0,0,1,1
"424",20710,1994,1,1,1,0,0,0,0,1,1
"425",20750,1994,1,1,1,0,0,0,0,1,1
"426",20770,1994,1,1,1,0,0,0,0,1,1
"427",20787,1994,0,1,1,0,0,0,0,1,1
"428",23001,1994,0,1,0,0,0,0,0,0,1
"429",23068,1994,1,1,0,0,0,0,0,1,1
"430",23079,1994,0,1,0,0,0,0,0,0,1
"431",23090,1994,0,1,0,0,0,0,0,0,1
"432",23162,1994,0,1,0,0,0,0,0,0,1
"433",23168,1994,0,1,0,0,0,0,0,0,1
