"";"mun";"year";"Paramilitaries_VI";"Paramilitaries_CD";"Paramilitaries_CL";"Paramilitaries_IN";"Paramilitaries_RE";"Paramilitaries_UC";"Paramilitaries_All";"Guerrilla_VI";"Guerrilla_CD";"Guerrilla_CL";"Guerrilla_RE";"Guerrilla_UC";"Guerrilla_All";"FARC_VI";"FARC_CD";"FARC_RC";"FARC_RE";"FARC_UC";"FARC_All";"ELN_VI";"ELN_CD";"ELN_RC";"ELN_UC";"ELN_All";"AUC_VI";"AUC_CD";"AUC_RC";"AUC_RE";"AUC_UC";"AUC_All"
"39";5002;1995;0;1;NA;NA;1;0;1;0;1;NA;1;0;1;0;0;0;0;0;0;0;1;NA;0;1;0;1;0;NA;0;1
"40";5002;1996;0;1;NA;NA;0;0;1;0;1;NA;1;0;1;0;1;0;1;0;1;0;1;NA;0;1;0;1;0;NA;0;1
"41";5002;1997;0;1;0;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;1;0;0;0;1
"42";5002;1998;0;1;0;NA;1;0;1;1;1;1;1;0;1;0;1;NA;1;0;1;0;0;0;0;0;0;1;0;1;0;1
"43";5002;1999;0;1;1;NA;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1
"44";5002;2000;1;1;1;NA;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;NA;0;1;1;1;0;1;0;1
"45";5002;2001;1;1;1;NA;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1;1
"46";5002;2002;1;1;1;NA;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;0;1;1;1;NA;1;0;1
"47";5002;2003;0;1;0;NA;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;0;1;0;1;0;0;0;1
"48";5002;2004;0;1;0;NA;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;NA;1;1;0;1;0;1;0;1
"49";5002;2005;0;1;0;NA;0;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;NA;1;1;0;1;0;0;0;1
"50";5002;2006;0;0;NA;NA;0;0;0;0;1;NA;1;0;1;0;1;0;1;0;1;0;1;NA;0;1;0;0;0;0;0;0
"51";5002;2007;0;0;NA;NA;0;0;0;0;1;NA;1;0;1;0;1;0;1;0;1;0;0;NA;0;0;0;0;NA;0;0;0
"52";5002;2008;0;0;NA;0;0;0;0;0;1;NA;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;NA;0;0;0
"53";5002;2009;0;0;NA;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;NA;0;0;0
"54";5002;2010;0;0;NA;0;0;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0
"55";5002;2011;0;1;NA;0;NA;0;1;0;1;NA;NA;0;1;0;1;0;NA;0;1;0;1;NA;0;1;0;1;NA;NA;0;1
"56";5002;2012;0;1;NA;0;NA;0;1;0;1;NA;NA;0;1;0;0;0;NA;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
"57";5002;2013;0;1;NA;NA;NA;0;1;0;1;NA;NA;0;1;0;0;NA;NA;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
"58";5002;2014;0;1;NA;1;NA;0;1;0;1;NA;NA;0;1;0;0;NA;NA;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
"59";5002;2015;0;1;NA;0;NA;0;1;0;1;NA;NA;0;1;0;0;NA;NA;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
"60";5002;2016;0;1;NA;NA;NA;0;1;0;1;NA;NA;0;1;0;0;NA;NA;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
"61";5002;2017;0;1;NA;1;NA;0;1;0;1;NA;NA;0;1;0;0;NA;NA;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
"62";5002;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"63";5004;1988;0;NA;NA;NA;1;NA;1;0;NA;NA;0;NA;0;0;NA;NA;0;NA;0;0;NA;NA;NA;0;0;NA;NA;NA;NA;0
"64";5004;1989;0;NA;NA;NA;1;0;1;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;0;0;0;NA;NA;NA;0;0
"65";5004;1990;0;NA;NA;NA;0;0;0;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;0;0;0;NA;NA;NA;0;0
"66";5004;1991;0;NA;NA;NA;1;0;1;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;0;0;0;NA;NA;NA;0;0
"67";5004;1992;0;NA;NA;NA;0;0;0;0;NA;NA;0;0;0;0;NA;NA;0;0;0;0;NA;NA;0;0;0;NA;NA;NA;0;0
"68";5004;1993;0;1;NA;NA;1;0;1;0;0;NA;0;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;1;NA;NA;0;1
"69";5004;1994;0;1;NA;NA;0;0;1;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;1;0;NA;0;1
"70";5004;1995;0;1;NA;NA;0;0;1;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;1;0;NA;0;1
"71";5004;1996;0;1;NA;NA;0;0;1;0;1;NA;1;0;1;0;1;0;1;0;1;0;0;NA;0;0;0;1;0;NA;0;1
"72";5004;1997;0;1;0;NA;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;NA;0;0;0;1;0;0;0;1
"73";5004;1998;0;1;1;NA;0;0;1;1;1;1;1;0;1;1;1;NA;1;0;1;0;0;0;0;0;0;1;0;0;0;1
"74";5004;1999;0;1;1;NA;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1
"75";5004;2000;1;1;1;NA;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;NA;0;1;1;1;0;0;1;1
"76";5004;2001;0;1;1;NA;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1
"77";5004;2002;0;1;1;NA;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;NA;0;0;1
"78";5004;2003;0;0;0;NA;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"79";5004;2004;0;1;1;NA;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;NA;0;1;0;1;0;1;0;1
"80";5004;2005;0;0;0;NA;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;0;0;NA;0;0;0;0;0;0;0;0
