"","mun","year","Departamento","Municipio","Narcopara","Rastrojos","Urabenos","Aguilas_Negras","Paisas","Otros","Paramilitaries","Bloque_Meta","Clan_Del_Golfo","EPL_Los Pelusos"
"62",5368,2009,"ANTIOQUIA","JERICO",0,0,0,0,0,0,0,NA,NA,NA
"63",5376,2009,"ANTIOQUIA","LA CEJA",0,0,0,0,0,0,0,NA,NA,NA
"64",5380,2009,"ANTIOQUIA","LA ESTRELLA",1,1,1,1,1,1,1,NA,NA,NA
"65",5390,2009,"ANTIOQUIA","LA PINTADA",0,0,0,0,0,0,0,NA,NA,NA
"66",5400,2009,"ANTIOQUIA","LA UNION",0,0,0,0,0,0,0,NA,NA,NA
"67",5411,2009,"ANTIOQUIA","LIBORINA",0,0,0,0,0,0,0,NA,NA,NA
"68",5425,2009,"ANTIOQUIA","MACEO",0,0,0,0,0,0,0,NA,NA,NA
"69",5440,2009,"ANTIOQUIA","MARINILLA",0,0,0,0,0,0,0,NA,NA,NA
"70",5467,2009,"ANTIOQUIA","MONTEBELLO",0,0,0,0,0,0,0,NA,NA,NA
"71",5475,2009,"ANTIOQUIA","MURINDO",0,0,0,0,0,0,0,NA,NA,NA
"72",5480,2009,"ANTIOQUIA","MUTATA",1,1,1,1,1,1,1,NA,NA,NA
"73",5483,2009,"ANTIOQUIA","NARINO",0,0,0,0,0,0,0,NA,NA,NA
"74",5490,2009,"ANTIOQUIA","NECOCLI",1,1,1,1,1,1,1,NA,NA,NA
"75",5495,2009,"ANTIOQUIA","NECHI",1,1,1,1,1,1,1,NA,NA,NA
"76",5501,2009,"ANTIOQUIA","OLAYA",0,0,0,0,0,0,0,NA,NA,NA
"77",5541,2009,"ANTIOQUIA","PENOL",0,0,0,0,0,0,0,NA,NA,NA
"78",5543,2009,"ANTIOQUIA","PEQUE",0,0,0,0,0,0,0,NA,NA,NA
"79",5576,2009,"ANTIOQUIA","PUEBLORRICO",0,0,0,0,0,0,0,NA,NA,NA
"80",5579,2009,"ANTIOQUIA","PUERTO BERRIO",1,1,1,1,1,1,1,NA,NA,NA
"81",5585,2009,"ANTIOQUIA","PUERTO NARE",1,1,1,1,1,1,1,NA,NA,NA
"82",5591,2009,"ANTIOQUIA","PUERTO TRIUNFO",1,1,1,1,1,1,1,NA,NA,NA
"83",5604,2009,"ANTIOQUIA","REMEDIOS",1,1,1,1,1,1,1,NA,NA,NA
"84",5607,2009,"ANTIOQUIA","RETIRO",0,0,0,0,0,0,0,NA,NA,NA
"85",5615,2009,"ANTIOQUIA","RIONEGRO",0,0,0,0,0,0,0,NA,NA,NA
"86",5628,2009,"ANTIOQUIA","SABANALARGA",0,0,0,0,0,0,0,NA,NA,NA
"87",5631,2009,"ANTIOQUIA","SABANETA",0,0,0,0,0,0,0,NA,NA,NA
"88",5642,2009,"ANTIOQUIA","SALGAR",0,0,0,0,0,0,0,NA,NA,NA
"89",5647,2009,"ANTIOQUIA","SAN ANDRES",0,0,0,0,0,0,0,NA,NA,NA
"90",5649,2009,"ANTIOQUIA","SAN CARLOS",1,1,1,1,1,1,1,NA,NA,NA
"91",5652,2009,"ANTIOQUIA","SAN FRANCISCO",1,1,1,1,1,1,1,NA,NA,NA
"92",5656,2009,"ANTIOQUIA","SAN JERONIMO",0,0,0,0,0,0,0,NA,NA,NA
"93",5658,2009,"ANTIOQUIA","SN JOSE D LA MONTANA",0,0,0,0,0,0,0,NA,NA,NA
"94",5659,2009,"ANTIOQUIA","SAN JUAN URABA",1,1,1,1,1,1,1,NA,NA,NA
"95",5660,2009,"ANTIOQUIA","SAN LUIS",1,1,1,1,1,1,1,NA,NA,NA
"96",5664,2009,"ANTIOQUIA","SAN PEDRO",0,0,0,0,0,0,0,NA,NA,NA
"97",5665,2009,"ANTIOQUIA","SAN PEDRO URABA",1,1,1,1,1,1,1,NA,NA,NA
"98",5667,2009,"ANTIOQUIA","SAN RAFAEL",1,1,1,1,1,1,1,NA,NA,NA
"99",5670,2009,"ANTIOQUIA","SAN ROQUE",0,0,0,0,0,0,0,NA,NA,NA
"100",5674,2009,"ANTIOQUIA","SAN VICENTE",0,0,0,0,0,0,0,NA,NA,NA
"101",5679,2009,"ANTIOQUIA","SANTA BARBARA",0,0,0,0,0,0,0,NA,NA,NA
"102",5686,2009,"ANTIOQUIA","SANTA ROSA DE OSOS",0,0,0,0,0,0,0,NA,NA,NA
"103",5690,2009,"ANTIOQUIA","SANTO DOMINGO",0,0,0,0,0,0,0,NA,NA,NA
"104",5697,2009,"ANTIOQUIA","EL SANTUARIO",0,0,0,0,0,0,0,NA,NA,NA
"105",5736,2009,"ANTIOQUIA","SEGOVIA",1,1,1,1,1,1,1,NA,NA,NA
"106",5756,2009,"ANTIOQUIA","SONSON",1,1,1,1,1,1,1,NA,NA,NA
"107",5761,2009,"ANTIOQUIA","SOPETRAN",1,1,1,1,1,1,1,NA,NA,NA
"108",5789,2009,"ANTIOQUIA","TAMESIS",0,0,0,0,0,0,0,NA,NA,NA
"109",5790,2009,"ANTIOQUIA","TARAZA",1,1,1,1,1,1,1,NA,NA,NA
"110",5792,2009,"ANTIOQUIA","TARSO",0,0,0,0,0,0,0,NA,NA,NA
"111",5809,2009,"ANTIOQUIA","TITIRIBI",0,0,0,0,0,0,0,NA,NA,NA
"112",5819,2009,"ANTIOQUIA","TOLEDO",0,0,0,0,0,0,0,NA,NA,NA
"113",5837,2009,"ANTIOQUIA","TURBO",1,1,1,1,1,1,1,NA,NA,NA
"114",5842,2009,"ANTIOQUIA","URAMITA",0,0,0,0,0,0,0,NA,NA,NA
"115",5847,2009,"ANTIOQUIA","URRAO",0,0,0,0,0,0,0,NA,NA,NA
"116",5854,2009,"ANTIOQUIA","VALDIVIA",0,0,0,0,0,0,0,NA,NA,NA
"117",5856,2009,"ANTIOQUIA","VALPARAISO",0,0,0,0,0,0,0,NA,NA,NA
"118",5858,2009,"ANTIOQUIA","VEGACHI",1,1,1,1,1,1,1,NA,NA,NA
"119",5861,2009,"ANTIOQUIA","VENECIA",0,0,0,0,0,0,0,NA,NA,NA
"120",5873,2009,"ANTIOQUIA","VIGIA DEL FUERTE",0,0,0,0,0,0,0,NA,NA,NA
"121",5885,2009,"ANTIOQUIA","YALI",1,1,1,1,1,1,1,NA,NA,NA
"122",5887,2009,"ANTIOQUIA","YARUMAL",1,1,1,1,1,1,1,NA,NA,NA
"123",5890,2009,"ANTIOQUIA","YOLOMBO",1,1,1,1,1,1,1,NA,NA,NA
"124",5893,2009,"ANTIOQUIA","YONDO",1,1,1,1,1,1,1,NA,NA,NA
"125",5895,2009,"ANTIOQUIA","ZARAGOZA",1,1,1,1,1,1,1,NA,NA,NA
"126",8001,2009,"ATLANTICO","BARRANQUILLA",1,0,0,1,1,1,1,NA,NA,NA
"127",8078,2009,"ATLANTICO","BARANOA",0,0,0,0,0,0,0,NA,NA,NA
"128",8137,2009,"ATLANTICO","CAMPO DE LA CRUZ",0,0,0,0,0,0,0,NA,NA,NA
"129",8141,2009,"ATLANTICO","CANDELARIA",0,0,0,0,0,0,0,NA,NA,NA
"130",8296,2009,"ATLANTICO","GALAPA",0,0,0,0,0,0,0,NA,NA,NA
"131",8372,2009,"ATLANTICO","JUAN DE ACOSTA",0,0,0,0,0,0,0,NA,NA,NA
"132",8421,2009,"ATLANTICO","LURUACO",0,0,0,0,0,0,0,NA,NA,NA
"133",8433,2009,"ATLANTICO","MALAMBO",0,0,0,0,0,0,0,NA,NA,NA
"134",8436,2009,"ATLANTICO","MANATI",0,0,0,0,0,0,0,NA,NA,NA
"135",8520,2009,"ATLANTICO","PALMAR D VARELA",0,0,0,0,0,0,0,NA,NA,NA
"136",8549,2009,"ATLANTICO","PIOJO",0,0,0,0,0,0,0,NA,NA,NA
"137",8558,2009,"ATLANTICO","POLONUEVO",0,0,0,0,0,0,0,NA,NA,NA
"138",8560,2009,"ATLANTICO","PONEDERA",0,0,0,0,0,0,0,NA,NA,NA
"139",8573,2009,"ATLANTICO","PUERTO COLOMBIA",0,0,0,0,0,0,0,NA,NA,NA
"140",8606,2009,"ATLANTICO","REPELON",0,0,0,0,0,0,0,NA,NA,NA
"141",8634,2009,"ATLANTICO","SABANAGRANDE",0,0,0,0,0,0,0,NA,NA,NA
"142",8638,2009,"ATLANTICO","SABANALARGA",0,0,0,0,0,0,0,NA,NA,NA
"143",8675,2009,"ATLANTICO","SANTA LUCIA",0,0,0,0,0,0,0,NA,NA,NA
"144",8685,2009,"ATLANTICO","SANTO TOMAS",0,0,0,0,0,0,0,NA,NA,NA
"145",8758,2009,"ATLANTICO","SOLEDAD",0,0,0,0,0,0,0,NA,NA,NA
"146",8770,2009,"ATLANTICO","SUAN",0,0,0,0,0,0,0,NA,NA,NA
"147",8832,2009,"ATLANTICO","TUBARA",0,0,0,0,0,0,0,NA,NA,NA
"148",8849,2009,"ATLANTICO","USIACURI",1,0,0,1,1,1,1,NA,NA,NA
"149",11001,2009,"BOGOTA","BOGOTA",0,0,0,0,0,0,0,NA,NA,NA
"150",13001,2009,"BOLIVAR","CARTAGENA",1,1,1,1,1,1,1,NA,NA,NA
"151",13006,2009,"BOLIVAR","ACHI",0,0,0,0,0,0,0,NA,NA,NA
"152",13030,2009,"BOLIVAR","ALTOS DEL ROSARIO",0,0,0,0,0,0,0,NA,NA,NA
"153",13042,2009,"BOLIVAR","ARENAL",0,0,0,0,0,0,0,NA,NA,NA
"154",13052,2009,"BOLIVAR","ARJONA",1,1,1,1,1,1,1,NA,NA,NA
"155",13062,2009,"BOLIVAR","ARROYOHONDO",0,0,0,0,0,0,0,NA,NA,NA
"156",13074,2009,"BOLIVAR","BARRANCO DE LOBA",0,0,0,0,0,0,0,NA,NA,NA
"157",13140,2009,"BOLIVAR","CALAMAR",0,0,0,0,0,0,0,NA,NA,NA
"158",13160,2009,"BOLIVAR","CANTAGALLO",1,1,1,1,1,1,1,NA,NA,NA
"159",13188,2009,"BOLIVAR","CICUCO",0,0,0,0,0,0,0,NA,NA,NA
"160",13212,2009,"BOLIVAR","CORDOBA",0,0,0,0,0,0,0,NA,NA,NA
"161",13222,2009,"BOLIVAR","CLEMENCIA",0,0,0,0,0,0,0,NA,NA,NA
"162",13244,2009,"BOLIVAR","EL CARMEN DE BOLIVAR",1,1,1,1,1,1,1,NA,NA,NA
"163",13248,2009,"BOLIVAR","EL GUAMO",0,0,0,0,0,0,0,NA,NA,NA
"164",13268,2009,"BOLIVAR","EL PEÐON",0,0,0,0,0,0,0,NA,NA,NA
"165",13300,2009,"BOLIVAR","HATILLO DE LOBA",0,0,0,0,0,0,0,NA,NA,NA
"166",13430,2009,"BOLIVAR","MAGANGUE",1,1,1,1,1,1,1,NA,NA,NA
"167",13433,2009,"BOLIVAR","MAHATES",0,0,0,0,0,0,0,NA,NA,NA
"168",13440,2009,"BOLIVAR","MARGARITA",0,0,0,0,0,0,0,NA,NA,NA
"169",13442,2009,"BOLIVAR","MARIA LA BAJA",0,0,0,0,0,0,0,NA,NA,NA
"170",13458,2009,"BOLIVAR","MONTECRISTO",0,0,0,0,0,0,0,NA,NA,NA
"171",13468,2009,"BOLIVAR","MOMPOS",0,0,0,0,0,0,0,NA,NA,NA
"172",13473,2009,"BOLIVAR","MORALES",0,0,0,0,0,0,0,NA,NA,NA
"173",13490,2009,"BOLIVAR","NOROSÍ",0,0,0,0,0,0,0,NA,NA,NA
"174",13549,2009,"BOLIVAR","PINILLOS",0,0,0,0,0,0,0,NA,NA,NA
"175",13580,2009,"BOLIVAR","REGIDOR",0,0,0,0,0,0,0,NA,NA,NA
"176",13600,2009,"BOLIVAR","RIO VIEJO",0,0,0,0,0,0,0,NA,NA,NA
"177",13620,2009,"BOLIVAR","SAN CRISTOBAL",0,0,0,0,0,0,0,NA,NA,NA
"178",13647,2009,"BOLIVAR","SAN ESTANISLAO",0,0,0,0,0,0,0,NA,NA,NA
"179",13650,2009,"BOLIVAR","SAN FERNANDO",0,0,0,0,0,0,0,NA,NA,NA
"180",13654,2009,"BOLIVAR","SAN JACINTO",0,0,0,0,0,0,0,NA,NA,NA
"181",13655,2009,"BOLIVAR","SAN JACINTO DEL CAUCA",0,0,0,0,0,0,0,NA,NA,NA
"182",13657,2009,"BOLIVAR","S.JUAN NEPOMUCENO",0,0,0,0,0,0,0,NA,NA,NA
"183",13667,2009,"BOLIVAR","S.MARTIN DE LOBA",0,0,0,0,0,0,0,NA,NA,NA
"184",13670,2009,"BOLIVAR","SAN PABLO",1,1,1,1,1,1,1,NA,NA,NA
"185",13673,2009,"BOLIVAR","SANTA CATALINA",0,0,0,0,0,0,0,NA,NA,NA
"186",13683,2009,"BOLIVAR","SANTA ROSA",0,0,0,0,0,0,0,NA,NA,NA
"187",13688,2009,"BOLIVAR","SANTA ROSA SUR",1,1,1,1,1,1,1,NA,NA,NA
"188",13744,2009,"BOLIVAR","SIMITI",0,0,0,0,0,0,0,NA,NA,NA
"189",13760,2009,"BOLIVAR","SOPLAVIENTO",0,0,0,0,0,0,0,NA,NA,NA
"190",13780,2009,"BOLIVAR","TALAIGUA NUEVO",0,0,0,0,0,0,0,NA,NA,NA
"191",13810,2009,"BOLIVAR","TIQUISIO",0,0,0,0,0,0,0,NA,NA,NA
"192",13836,2009,"BOLIVAR","TURBACO",0,0,0,0,0,0,0,NA,NA,NA
"193",13838,2009,"BOLIVAR","TURBANA",0,0,0,0,0,0,0,NA,NA,NA
"194",13873,2009,"BOLIVAR","VILLANUEVA",0,0,0,0,0,0,0,NA,NA,NA
"195",13894,2009,"BOLIVAR","ZAMBRANO",0,0,0,0,0,0,0,NA,NA,NA
"196",15001,2009,"BOYACA","TUNJA",0,0,0,0,0,0,0,NA,NA,NA
"197",15022,2009,"BOYACA","ALMEIDA",0,0,0,0,0,0,0,NA,NA,NA
"198",15047,2009,"BOYACA","AQUITANIA",0,0,0,0,0,0,0,NA,NA,NA
"199",15051,2009,"BOYACA","ARCABUCO",0,0,0,0,0,0,0,NA,NA,NA
"200",15087,2009,"BOYACA","BELEN",0,0,0,0,0,0,0,NA,NA,NA
"201",15090,2009,"BOYACA","BERBEO",0,0,0,0,0,0,0,NA,NA,NA
"202",15092,2009,"BOYACA","BETEITIVA",0,0,0,0,0,0,0,NA,NA,NA
"203",15097,2009,"BOYACA","BOAVITA",0,0,0,0,0,0,0,NA,NA,NA
"204",15104,2009,"BOYACA","BOYACA",0,0,0,0,0,0,0,NA,NA,NA
"205",15106,2009,"BOYACA","BRICEÐO",0,0,0,0,0,0,0,NA,NA,NA
"206",15109,2009,"BOYACA","BUENAVISTA",0,0,0,0,0,0,0,NA,NA,NA
"207",15114,2009,"BOYACA","BUSBANZA",0,0,0,0,0,0,0,NA,NA,NA
"208",15131,2009,"BOYACA","CALDAS",0,0,0,0,0,0,0,NA,NA,NA
"209",15135,2009,"BOYACA","CAMPOHERMOSO",0,0,0,0,0,0,0,NA,NA,NA
"210",15162,2009,"BOYACA","CERINZA",0,0,0,0,0,0,0,NA,NA,NA
"211",15172,2009,"BOYACA","CHINAVITA",0,0,0,0,0,0,0,NA,NA,NA
"212",15176,2009,"BOYACA","CHIQUINQUIRA",1,0,0,1,0,1,1,NA,NA,NA
"213",15180,2009,"BOYACA","CHISCAS",0,0,0,0,0,0,0,NA,NA,NA
"214",15183,2009,"BOYACA","CHITA",0,0,0,0,0,0,0,NA,NA,NA
"215",15185,2009,"BOYACA","CHITARAQUE",0,0,0,0,0,0,0,NA,NA,NA
"216",15187,2009,"BOYACA","CHIVATA",0,0,0,0,0,0,0,NA,NA,NA
"217",15189,2009,"BOYACA","CIENAGA",0,0,0,0,0,0,0,NA,NA,NA
"218",15204,2009,"BOYACA","COMBITA",0,0,0,0,0,0,0,NA,NA,NA
"219",15212,2009,"BOYACA","COPER",0,0,0,0,0,0,0,NA,NA,NA
"220",15215,2009,"BOYACA","CORRALES",0,0,0,0,0,0,0,NA,NA,NA
"221",15218,2009,"BOYACA","COVARACHIA",0,0,0,0,0,0,0,NA,NA,NA
"222",15223,2009,"BOYACA","CUBARA",0,0,0,0,0,0,0,NA,NA,NA
"223",15224,2009,"BOYACA","CUCAITA",0,0,0,0,0,0,0,NA,NA,NA
"224",15226,2009,"BOYACA","CUITIVA",0,0,0,0,0,0,0,NA,NA,NA
"225",15232,2009,"BOYACA","CHIQUIZA",0,0,0,0,0,0,0,NA,NA,NA
"226",15236,2009,"BOYACA","CHIVOR",0,0,0,0,0,0,0,NA,NA,NA
"227",15238,2009,"BOYACA","DUITAMA",0,0,0,0,0,0,0,NA,NA,NA
"228",15244,2009,"BOYACA","EL COCUY",0,0,0,0,0,0,0,NA,NA,NA
"229",15248,2009,"BOYACA","EL ESPINO",0,0,0,0,0,0,0,NA,NA,NA
"230",15272,2009,"BOYACA","FIRAVITOBA",0,0,0,0,0,0,0,NA,NA,NA
"231",15276,2009,"BOYACA","FLORESTA",0,0,0,0,0,0,0,NA,NA,NA
"232",15293,2009,"BOYACA","GACHANTIVA",0,0,0,0,0,0,0,NA,NA,NA
"233",15296,2009,"BOYACA","GAMEZA",0,0,0,0,0,0,0,NA,NA,NA
"234",15299,2009,"BOYACA","GARAGOA",0,0,0,0,0,0,0,NA,NA,NA
"235",15317,2009,"BOYACA","GUACAMAYAS",0,0,0,0,0,0,0,NA,NA,NA
"236",15322,2009,"BOYACA","GUATEQUE",0,0,0,0,0,0,0,NA,NA,NA
"237",15325,2009,"BOYACA","GUAYATA",0,0,0,0,0,0,0,NA,NA,NA
"238",15332,2009,"BOYACA","GUICAN",0,0,0,0,0,0,0,NA,NA,NA
"239",15362,2009,"BOYACA","IZA",0,0,0,0,0,0,0,NA,NA,NA
"240",15367,2009,"BOYACA","JENESANO",0,0,0,0,0,0,0,NA,NA,NA
"241",15368,2009,"BOYACA","JERICO",0,0,0,0,0,0,0,NA,NA,NA
"242",15377,2009,"BOYACA","LABRANZAGRANDE",0,0,0,0,0,0,0,NA,NA,NA
"243",15380,2009,"BOYACA","LA CAPILLA",0,0,0,0,0,0,0,NA,NA,NA
"244",15401,2009,"BOYACA","LA VICTORIA",0,0,0,0,0,0,0,NA,NA,NA
"245",15403,2009,"BOYACA","LA UVITA",0,0,0,0,0,0,0,NA,NA,NA
"246",15407,2009,"BOYACA","VILLA DE LEYVA",0,0,0,0,0,0,0,NA,NA,NA
"247",15425,2009,"BOYACA","MACANAL",0,0,0,0,0,0,0,NA,NA,NA
"248",15442,2009,"BOYACA","MARIPI",0,0,0,0,0,0,0,NA,NA,NA
"249",15455,2009,"BOYACA","MIRAFLORES",0,0,0,0,0,0,0,NA,NA,NA
"250",15464,2009,"BOYACA","MONGUA",0,0,0,0,0,0,0,NA,NA,NA
"251",15466,2009,"BOYACA","MONGUI",0,0,0,0,0,0,0,NA,NA,NA
"252",15469,2009,"BOYACA","MONIQUIRA",1,0,0,1,0,1,1,NA,NA,NA
"253",15476,2009,"BOYACA","MOTAVITA",0,0,0,0,0,0,0,NA,NA,NA
"254",15480,2009,"BOYACA","MUZO",0,0,0,0,0,0,0,NA,NA,NA
"255",15491,2009,"BOYACA","NOBSA",1,0,0,1,0,1,1,NA,NA,NA
"256",15494,2009,"BOYACA","NUEVO COLON",0,0,0,0,0,0,0,NA,NA,NA
"257",15500,2009,"BOYACA","OICATA",0,0,0,0,0,0,0,NA,NA,NA
"258",15507,2009,"BOYACA","OTANCHE",1,0,0,1,0,1,1,NA,NA,NA
"259",15511,2009,"BOYACA","PACHAVITA",0,0,0,0,0,0,0,NA,NA,NA
"260",15514,2009,"BOYACA","PAEZ",0,0,0,0,0,0,0,NA,NA,NA
"261",15516,2009,"BOYACA","PAIPA",0,0,0,0,0,0,0,NA,NA,NA
"262",15518,2009,"BOYACA","PAJARITO",0,0,0,0,0,0,0,NA,NA,NA
"263",15522,2009,"BOYACA","PANQUEBA",0,0,0,0,0,0,0,NA,NA,NA
"264",15531,2009,"BOYACA","PAUNA",0,0,0,0,0,0,0,NA,NA,NA
"265",15533,2009,"BOYACA","PAYA",0,0,0,0,0,0,0,NA,NA,NA
"266",15537,2009,"BOYACA","PAZ DE RIO",0,0,0,0,0,0,0,NA,NA,NA
"267",15542,2009,"BOYACA","PESCA",0,0,0,0,0,0,0,NA,NA,NA
"268",15550,2009,"BOYACA","PISVA",0,0,0,0,0,0,0,NA,NA,NA
"269",15572,2009,"BOYACA","PUERTO BOYACA",1,0,0,1,0,1,1,NA,NA,NA
"270",15580,2009,"BOYACA","QUIPAMA",0,0,0,0,0,0,0,NA,NA,NA
"271",15599,2009,"BOYACA","RAMIRIQUI",0,0,0,0,0,0,0,NA,NA,NA
"272",15600,2009,"BOYACA","RAQUIRA",0,0,0,0,0,0,0,NA,NA,NA
"273",15621,2009,"BOYACA","RONDON",0,0,0,0,0,0,0,NA,NA,NA
"274",15632,2009,"BOYACA","SABOYA",0,0,0,0,0,0,0,NA,NA,NA
"275",15638,2009,"BOYACA","SACHICA",0,0,0,0,0,0,0,NA,NA,NA
"276",15646,2009,"BOYACA","SAMACA",0,0,0,0,0,0,0,NA,NA,NA
"277",15660,2009,"BOYACA","SAN EDUARDO",0,0,0,0,0,0,0,NA,NA,NA
"278",15664,2009,"BOYACA","SAN JOSE DE PARE",0,0,0,0,0,0,0,NA,NA,NA
"279",15667,2009,"BOYACA","SAN LUIS DE GACENO",0,0,0,0,0,0,0,NA,NA,NA
"280",15673,2009,"BOYACA","SAN MATEO",0,0,0,0,0,0,0,NA,NA,NA
