"","mun","year","AUC","FARC","Paramilitaries","Guerrilla"
"177",13620,1988,NA,0,0,0
"178",13647,1988,NA,0,0,0
"179",13650,1988,NA,0,0,0
"180",13654,1988,NA,0,1,0
"181",13655,1988,NA,0,0,0
"182",13657,1988,NA,0,0,0
"183",13667,1988,NA,0,0,1
"184",13670,1988,NA,1,1,1
"185",13673,1988,NA,0,0,0
"186",13683,1988,NA,0,1,1
"187",13688,1988,NA,0,0,0
"188",13744,1988,NA,1,0,1
"189",13760,1988,NA,0,0,0
"190",13780,1988,NA,0,0,0
"191",13810,1988,NA,0,0,0
"192",13836,1988,NA,0,0,0
"193",13838,1988,NA,0,0,0
"194",13873,1988,NA,0,0,0
"195",13894,1988,NA,0,0,0
"196",13989,1988,NA,0,0,0
"197",13990,1988,NA,0,0,0
"198",13991,1988,NA,0,0,0
"199",13992,1988,NA,0,0,0
"200",13993,1988,NA,0,0,0
"201",13994,1988,NA,0,0,0
"202",13995,1988,NA,0,0,0
"203",13996,1988,NA,0,0,0
"204",13997,1988,NA,0,0,0
"205",13998,1988,NA,0,0,0
"206",13999,1988,NA,0,0,0
"207",15001,1988,NA,0,1,1
"208",15022,1988,NA,0,0,0
"209",15047,1988,NA,0,0,0
"210",15051,1988,NA,0,0,0
"211",15087,1988,NA,0,0,0
"212",15090,1988,NA,0,0,0
"213",15092,1988,NA,0,0,0
"214",15097,1988,NA,0,0,0
"215",15104,1988,NA,0,0,0
"216",15106,1988,NA,0,0,0
"217",15109,1988,NA,0,0,0
"218",15114,1988,NA,0,0,0
"219",15131,1988,NA,0,0,0
"220",15135,1988,NA,0,0,0
"221",15162,1988,NA,0,0,0
"222",15172,1988,NA,0,0,0
"223",15176,1988,NA,0,1,0
"224",15180,1988,NA,0,0,1
"225",15183,1988,NA,0,0,1
"226",15185,1988,NA,0,1,0
"227",15187,1988,NA,0,0,0
"228",15189,1988,NA,0,1,0
"229",15204,1988,NA,0,0,0
"230",15212,1988,NA,0,0,0
"231",15215,1988,NA,0,0,0
"232",15218,1988,NA,0,0,0
"233",15223,1988,NA,0,0,1
"234",15224,1988,NA,0,0,0
"235",15226,1988,NA,0,0,0
"236",15232,1988,NA,0,0,0
"237",15236,1988,NA,0,0,0
"238",15238,1988,NA,0,0,1
"239",15244,1988,NA,0,0,1
"240",15248,1988,NA,0,0,0
"241",15272,1988,NA,0,0,0
"242",15276,1988,NA,0,0,0
"243",15293,1988,NA,0,0,0
"244",15296,1988,NA,0,0,0
"245",15299,1988,NA,0,0,0
"246",15317,1988,NA,0,0,0
"247",15322,1988,NA,0,0,0
"248",15325,1988,NA,0,0,0
"249",15332,1988,NA,0,1,1
"250",15362,1988,NA,0,0,0
"251",15367,1988,NA,0,0,0
"252",15368,1988,NA,0,0,0
"253",15377,1988,NA,0,0,0
"254",15380,1988,NA,0,0,0
"255",15401,1988,NA,0,0,0
"256",15403,1988,NA,0,0,0
"257",15407,1988,NA,0,0,0
"258",15425,1988,NA,0,0,0
"259",15442,1988,NA,0,1,0
"260",15455,1988,NA,0,0,0
"261",15464,1988,NA,0,0,0
"262",15466,1988,NA,0,0,0
"263",15469,1988,NA,0,0,1
"264",15476,1988,NA,0,0,0
"265",15480,1988,NA,0,1,0
"266",15491,1988,NA,0,0,0
"267",15494,1988,NA,0,0,0
"268",15500,1988,NA,0,0,0
"269",15507,1988,NA,0,1,1
"270",15511,1988,NA,0,0,0
"271",15514,1988,NA,0,0,0
"272",15516,1988,NA,0,0,0
"273",15518,1988,NA,0,0,0
"274",15522,1988,NA,0,0,0
"275",15531,1988,NA,1,0,1
"276",15533,1988,NA,0,0,0
"277",15537,1988,NA,0,0,0
"278",15542,1988,NA,0,0,0
"279",15550,1988,NA,0,0,0
"280",15550,1988,NA,0,0,0
"281",15550,1988,NA,0,0,0
"282",15572,1988,NA,0,0,0
"283",15580,1988,NA,0,0,0
"284",15599,1988,NA,0,0,0
"285",15600,1988,NA,0,0,0
"286",15621,1988,NA,0,0,0
"287",15632,1988,NA,0,0,0
"288",15638,1988,NA,0,0,0
"289",15646,1988,NA,0,0,0
"290",15660,1988,NA,0,0,0
"291",15664,1988,NA,0,0,0
"292",15667,1988,NA,0,0,0
"293",15673,1988,NA,0,0,0
"294",15676,1988,NA,0,0,0
"295",15681,1988,NA,1,1,1
"296",15686,1988,NA,1,0,1
"297",15690,1988,NA,0,0,0
"298",15693,1988,NA,0,0,0
"299",15696,1988,NA,0,0,0
"300",15720,1988,NA,0,0,0
"301",15723,1988,NA,0,0,0
"302",15740,1988,NA,0,0,0
"303",15753,1988,NA,0,0,0
"304",15755,1988,NA,0,0,0
"305",15757,1988,NA,0,0,0
"306",15759,1988,NA,0,1,1
"307",15761,1988,NA,0,0,0
"308",15762,1988,NA,0,0,0
"309",15763,1988,NA,0,1,0
"310",15764,1988,NA,0,0,0
"311",15774,1988,NA,0,0,0
"312",15776,1988,NA,0,0,0
"313",15778,1988,NA,0,0,0
"314",15790,1988,NA,0,0,0
"315",15798,1988,NA,0,0,0
"316",15804,1988,NA,0,0,0
"317",15806,1988,NA,0,0,0
"318",15808,1988,NA,0,0,0
"319",15810,1988,NA,0,0,0
"320",15814,1988,NA,0,0,0
"321",15816,1988,NA,0,0,0
"322",15820,1988,NA,0,0,0
"323",15822,1988,NA,0,0,0
"324",15832,1988,NA,0,0,0
"325",15835,1988,NA,0,0,0
"326",15837,1988,NA,0,0,0
"327",15839,1988,NA,0,0,0
"328",15842,1988,NA,0,0,0
"329",15861,1988,NA,0,0,0
"330",15879,1988,NA,0,0,0
"331",15897,1988,NA,0,0,0
"332",17001,1988,NA,0,1,1
"333",17013,1988,NA,0,0,0
"334",17042,1988,NA,0,1,1
"335",17050,1988,NA,0,0,0
"336",17088,1988,NA,0,1,0
"337",17174,1988,NA,0,1,0
"338",17272,1988,NA,0,0,1
"339",17380,1988,NA,0,1,0
"340",17388,1988,NA,0,1,0
"341",17433,1988,NA,0,0,0
"342",17442,1988,NA,0,0,0
"343",17444,1988,NA,0,0,0
"344",17446,1988,NA,0,0,0
"345",17486,1988,NA,0,0,0
"346",17495,1988,NA,0,0,0
"347",17513,1988,NA,0,0,0
"348",17524,1988,NA,0,1,0
"349",17541,1988,NA,0,1,0
"350",17614,1988,NA,0,1,1
"351",17616,1988,NA,0,1,0
"352",17653,1988,NA,0,0,0
"353",17662,1988,NA,0,0,1
"354",17665,1988,NA,0,0,0
"355",17777,1988,NA,0,1,1
"356",17867,1988,NA,0,1,0
"357",17873,1988,NA,0,0,0
"358",17877,1988,NA,0,1,1
"359",18001,1988,NA,1,1,1
"360",18029,1988,NA,0,1,0
"361",18094,1988,NA,1,1,1
"362",18150,1988,NA,1,0,1
"363",18205,1988,NA,0,0,0
"364",18247,1988,NA,1,0,1
"365",18256,1988,NA,0,0,0
"366",18410,1988,NA,1,1,1
"367",18460,1988,NA,1,0,1
"368",18479,1988,NA,1,0,1
"369",18592,1988,NA,1,1,1
"370",18610,1988,NA,0,1,0
"371",18753,1988,NA,1,0,1
"372",18756,1988,NA,0,0,0
"373",18765,1988,NA,0,0,0
"374",18785,1988,NA,0,0,0
"375",18860,1988,NA,1,0,1
"376",19001,1988,NA,0,1,1
"377",19022,1988,NA,0,1,0
"378",19050,1988,NA,1,0,1
"379",19075,1988,NA,1,1,1
"380",19100,1988,NA,0,1,1
"381",19110,1988,NA,1,1,1
"382",19130,1988,NA,0,1,1
"383",19137,1988,NA,0,1,1
"384",19142,1988,NA,0,1,1
"385",19212,1988,NA,0,0,0
"386",19256,1988,NA,1,1,1
"387",19290,1988,NA,0,0,0
"388",19300,1988,NA,0,0,0
"389",19318,1988,NA,0,0,0
"390",19355,1988,NA,0,1,0
"391",19364,1988,NA,0,1,1
"392",19392,1988,NA,1,1,1
"393",19397,1988,NA,0,1,0
"394",19418,1988,NA,1,0,1
"395",19450,1988,NA,1,1,1
"396",19455,1988,NA,1,1,1
"397",19473,1988,NA,0,0,0
"398",19513,1988,NA,1,0,1
"399",19517,1988,NA,0,1,0
"400",19532,1988,NA,0,1,1
"401",19533,1988,NA,0,0,0
"402",19548,1988,NA,0,0,1
"403",19573,1988,NA,0,1,0
"404",19585,1988,NA,0,0,1
"405",19622,1988,NA,1,1,1
